method,is_ordinary_actionable_baseline,eta,lambda_invariance,rho_anchor,n,cost,cost_lo,cost_hi,shortfall,shortfall_lo,shortfall_hi,direct_effect,direct_effect_lo,direct_effect_hi,transport,transport_lo,transport_hi,pre_recourse_mediated_prediction_disparity,pre_recourse_mediated_prediction_disparity_lo,pre_recourse_mediated_prediction_disparity_hi,pre_recourse_factual_mediated_prediction_disparity,pre_recourse_factual_mediated_prediction_disparity_lo,pre_recourse_factual_mediated_prediction_disparity_hi,post_recourse_mediated_prediction_disparity,post_recourse_mediated_prediction_disparity_lo,post_recourse_mediated_prediction_disparity_hi,feasible_rate,feasible_rate_lo,feasible_rate_hi,factual_mediated_prediction_disparity_closure,factual_mediated_prediction_disparity_closure_lo,factual_mediated_prediction_disparity_closure_hi,factual_closure_gain_vs_actionable_baseline,factual_closure_gain_vs_actionable_baseline_lo,factual_closure_gain_vs_actionable_baseline_hi,cost_difference_vs_actionable_baseline,cost_difference_vs_actionable_baseline_lo,cost_difference_vs_actionable_baseline_hi,feasibility_difference_vs_actionable_baseline,feasibility_difference_vs_actionable_baseline_lo,feasibility_difference_vs_actionable_baseline_hi,is_effect_ratio_heuristic
ordinary_actionable_recourse,True,0.0,0.0,0.0,250,0.0,0.0,0.0,0.5341716137641349,0.49871801256875675,0.5670596169564986,0.06305633952104733,0.05802114826428982,0.06741985806828324,0.5879588155907393,0.5787729081171751,0.5971687321848521,0.039424650456756354,0.03442381686633453,0.04408355669341982,0.19357792193111908,0.17361509798871821,0.2148110442232794,0.19357792193111908,0.17227502977835957,0.21461417449899484,0.036,0.016,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,0.0,0.5,0.0,250,0.0,0.0,0.0,0.5341716137641349,0.49871801256875675,0.5670596169564986,0.06305633952104733,0.05802114826428982,0.06741985806828324,0.5879588155907393,0.5787729081171751,0.5971687321848521,0.039424650456756354,0.03442381686633453,0.04408355669341982,0.19357792193111908,0.17361509798871821,0.2148110442232794,0.19357792193111908,0.17227502977835957,0.21461417449899484,0.036,0.016,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,0.0,1.0,0.0,250,0.0,0.0,0.0,0.5341716137641349,0.49871801256875675,0.5670596169564986,0.06305633952104733,0.05802114826428982,0.06741985806828324,0.5879588155907393,0.5787729081171751,0.5971687321848521,0.039424650456756354,0.03442381686633453,0.04408355669341982,0.19357792193111908,0.17361509798871821,0.2148110442232794,0.19357792193111908,0.17227502977835957,0.21461417449899484,0.036,0.016,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,0.0,1.6159624673418407,0.0,250,0.0,0.0,0.0,0.5341716137641349,0.49871801256875675,0.5670596169564986,0.06305633952104733,0.05802114826428982,0.06741985806828324,0.5879588155907393,0.5787729081171751,0.5971687321848521,0.039424650456756354,0.03442381686633453,0.04408355669341982,0.19357792193111908,0.17361509798871821,0.2148110442232794,0.19357792193111908,0.17227502977835957,0.21461417449899484,0.036,0.016,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
direct_invariance_only,False,0.0,2.0,0.0,250,0.0,0.0,0.0,0.5341716137641349,0.49871801256875675,0.5670596169564986,0.06305633952104733,0.05802114826428982,0.06741985806828324,0.5879588155907393,0.5787729081171751,0.5971687321848521,0.039424650456756354,0.03442381686633453,0.04408355669341982,0.19357792193111908,0.17361509798871821,0.2148110442232794,0.19357792193111908,0.17227502977835957,0.21461417449899484,0.036,0.016,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,0.0,5.0,0.0,250,3.450323361903429e-05,6.900646723806858e-06,6.900646723806858e-05,0.5341716137641349,0.49871801256875675,0.5670596169564986,0.06304703407004979,0.05801374603779051,0.06741064692488041,0.5879584922852118,0.5787720761816452,0.5971906218660523,0.039424650456756354,0.03442381686633453,0.04408355669341982,0.19357792193111908,0.17361509798871821,0.2148110442232794,0.19337774739356248,0.17195821552621104,0.2144539521983656,0.036,0.016,0.06,0.0010340773139813075,0.00021401394553809683,0.0020870285050967855,0.0010340773139813075,0.00020821753786887942,0.002152481647507595,3.450323361903429e-05,6.900646723806858e-06,6.900646723806858e-05,0.0,0.0,0.0,False
ordinary_actionable_recourse,True,1.0,0.0,0.0,250,0.2990599492536858,0.26705102704165035,0.33165001790723764,0.15168975994233444,0.12847529292138588,0.1791762170692678,0.09889177121095617,0.09564939610690744,0.10176503849412298,0.6054160737760861,0.5979875165911666,0.6129282337968399,0.039424650456756354,0.03442381686633453,0.04408355669341982,0.19357792193111908,0.17361509798871821,0.2148110442232794,-0.07554830101518521,-0.10301359853840594,-0.04759820710464663,0.196,0.148,0.244,0.6097266658226261,0.45083740576528364,0.7612892946604081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,1.0,0.5,0.0,250,0.28028371489048004,0.24774155064809603,0.3139103243611753,0.171326544053568,0.14545192410800692,0.20042621638066094,0.09466487922789457,0.09096230358144357,0.09800194183014423,0.6025293856199583,0.5954217694215427,0.6102307529779127,0.039424650456756354,0.03442381686633453,0.04408355669341982,0.19357792193111908,0.17361509798871821,0.2148110442232794,-0.07487467983402461,-0.10396962820735862,-0.04708122921333604,0.176,0.124,0.2200999999999999,0.6132065109126066,0.46515967294799476,0.7689682386148342,0.003479845089980449,-0.046889031757494384,0.05238476582206235,-0.018776234363205732,-0.03180334586692042,-0.007155893375119194,-0.02,-0.04,0.0,False
direct_invariance_only,False,1.0,1.0,0.0,250,0.22677236671280115,0.19307045939124653,0.26226725407082124,0.2306778471292926,0.1984578409377554,0.2642534184567216,0.08739942858291351,0.08340939693474546,0.09115804087094512,0.595119030888478,0.5872984700155457,0.6033115482407163,0.039424650456756354,0.03442381686633453,0.04408355669341982,0.19357792193111908,0.17361509798871821,0.2148110442232794,-0.04529884366484683,-0.07670404520708418,-0.014375201281476771,0.168,0.12,0.216,0.7659916832821176,0.6143142094926304,0.9125692578105157,0.1562650174594915,0.06924373335626913,0.25548293985751136,-0.07228758254088462,-0.09618378876037896,-0.05033654481316916,-0.028,-0.052,-0.004,False
direct_invariance_only,False,1.0,1.6159624673418407,0.0,250,0.19741450801491736,0.16529042457386384,0.23314713092776945,0.26637427211289855,0.2309110297162548,0.30389645878791727,0.08279983465684282,0.07852640358336323,0.08683713434848854,0.5901479154364268,0.5819138507087976,0.5980169941678345,0.039424650456756354,0.03442381686633453,0.04408355669341982,0.19357792193111908,0.17361509798871821,0.2148110442232794,-0.025665124193778175,-0.05636814168488657,0.004767754376307427,0.148,0.104,0.192,0.8674170900392731,0.7263795028682077,0.9841758636911901,0.257690424216647,0.14662542769942055,0.3802822657303652,-0.1016454412387684,-0.128936800647527,-0.07498173371341545,-0.048,-0.076,-0.02,True
