dataset,model,scenario,flow_best_val_nll_mean,flow_best_val_nll_sd,flow_best_val_nll_min,flow_best_val_nll_max,flow_best_val_nll_n_seeds,flow_best_epoch_mean,flow_best_epoch_sd,flow_best_epoch_min,flow_best_epoch_max,flow_best_epoch_n_seeds,validation_auc_mean,validation_auc_sd,validation_auc_min,validation_auc_max,validation_auc_n_seeds,validation_accuracy_mean,validation_accuracy_sd,validation_accuracy_min,validation_accuracy_max,validation_accuracy_n_seeds,pure_nde_mean,pure_nde_sd,pure_nde_min,pure_nde_max,pure_nde_n_seeds,pure_nie_mean,pure_nie_sd,pure_nie_min,pure_nie_max,pure_nie_n_seeds,total_effect_mean,total_effect_sd,total_effect_min,total_effect_max,total_effect_n_seeds,addressability_mean,addressability_sd,addressability_min,addressability_max,addressability_n_seeds,effect_ratio_heuristic_mean,effect_ratio_heuristic_sd,effect_ratio_heuristic_min,effect_ratio_heuristic_max,effect_ratio_heuristic_n_seeds,recipients_mean,recipients_sd,recipients_min,recipients_max,recipients_n_seeds,post_recourse_mediated_prediction_disparity_mean,post_recourse_mediated_prediction_disparity_sd,post_recourse_mediated_prediction_disparity_min,post_recourse_mediated_prediction_disparity_max,post_recourse_mediated_prediction_disparity_n_seeds,factual_mediated_prediction_disparity_closure_mean,factual_mediated_prediction_disparity_closure_sd,factual_mediated_prediction_disparity_closure_min,factual_mediated_prediction_disparity_closure_max,factual_mediated_prediction_disparity_closure_n_seeds,feasible_rate_mean,feasible_rate_sd,feasible_rate_min,feasible_rate_max,feasible_rate_n_seeds,cost_mean,cost_sd,cost_min,cost_max,cost_n_seeds,factual_closure_gain_vs_actionable_baseline_mean,factual_closure_gain_vs_actionable_baseline_sd,factual_closure_gain_vs_actionable_baseline_min,factual_closure_gain_vs_actionable_baseline_max,factual_closure_gain_vs_actionable_baseline_n_seeds,cost_difference_vs_actionable_baseline_mean,cost_difference_vs_actionable_baseline_sd,cost_difference_vs_actionable_baseline_min,cost_difference_vs_actionable_baseline_max,cost_difference_vs_actionable_baseline_n_seeds,feasibility_difference_vs_actionable_baseline_mean,feasibility_difference_vs_actionable_baseline_sd,feasibility_difference_vs_actionable_baseline_min,feasibility_difference_vs_actionable_baseline_max,feasibility_difference_vs_actionable_baseline_n_seeds
bar,Logistic Reg.,ordinary_actionable_recourse,2.1738203767787714,0.37918028095996315,1.5829125321399213,2.5050169021313633,5,96.6,3.4351128074635335,92.0,100.0,5,0.7691966749034245,0.010480891370338164,0.7583640181131603,0.7855863584006066,5,0.9031291789248461,0.0015058238309986025,0.9010430596416154,0.9050548274939824,5,0.1176309539079666,0.009006059026949944,0.10963768005371094,0.13111851716041564,5,0.21398000371456147,0.009656619396941818,0.20463362324237824,0.23031747603416444,5,0.2715779073476791,0.005824430231303153,0.26577818143367765,0.28112978088855745,5,0.7877414916340634,0.024622465899654018,0.7540652594139384,0.8192567692622522,5,0.5516951564130299,0.06239395379336805,0.47602848876933546,0.6407476693363942,5,40.0,5.291502622129181,35.0,46.0,5,0.41100338911852036,0.011050237686603603,0.3992092595683743,0.4290265664985046,5,0.17149055437690708,0.015316430990035605,0.15248589419746095,0.19155582787561454,5,0.5482083134257048,0.05982573084649899,0.46153846153846156,0.6,5,0.3715478410449882,0.06429259069818893,0.30265432650016416,0.44638687460018056,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
bar,Logistic Reg.,transport_anchor_only,2.1738203767787714,0.37918028095996315,1.5829125321399213,2.5050169021313633,5,96.6,3.4351128074635335,92.0,100.0,5,0.7691966749034245,0.010480891370338164,0.7583640181131603,0.7855863584006066,5,0.9031291789248461,0.0015058238309986025,0.9010430596416154,0.9050548274939824,5,0.1176309539079666,0.009006059026949944,0.10963768005371094,0.13111851716041564,5,0.21398000371456147,0.009656619396941818,0.20463362324237824,0.23031747603416444,5,0.2715779073476791,0.005824430231303153,0.26577818143367765,0.28112978088855745,5,0.7877414916340634,0.024622465899654018,0.7540652594139384,0.8192567692622522,5,0.5516951564130299,0.06239395379336805,0.47602848876933546,0.6407476693363942,5,40.0,5.291502622129181,35.0,46.0,5,0.3731810875257423,0.011284924461367172,0.3576214805808896,0.38943506414780016,5,0.24785639630626805,0.008685574456880413,0.23917854529059956,0.2596692630585574,5,0.8069236077931731,0.05130927675677899,0.7435897435897436,0.8571428571428571,5,0.5438871434623552,0.0776660080110292,0.457293952362878,0.6455923855304718,5,0.076365841929361,0.007852969494382848,0.06811343518294288,0.08829010970086215,5,0.17233930241736709,0.021013317542978326,0.14146045739097254,0.19920551093029124,5,0.2587152943674683,0.05637749097056128,0.1956521739130435,0.34285714285714286,5
bar,Logistic Reg.,mediation_aware_recourse,2.1738203767787714,0.37918028095996315,1.5829125321399213,2.5050169021313633,5,96.6,3.4351128074635335,92.0,100.0,5,0.7691966749034245,0.010480891370338164,0.7583640181131603,0.7855863584006066,5,0.9031291789248461,0.0015058238309986025,0.9010430596416154,0.9050548274939824,5,0.1176309539079666,0.009006059026949944,0.10963768005371094,0.13111851716041564,5,0.21398000371456147,0.009656619396941818,0.20463362324237824,0.23031747603416444,5,0.2715779073476791,0.005824430231303153,0.26577818143367765,0.28112978088855745,5,0.7877414916340634,0.024622465899654018,0.7540652594139384,0.8192567692622522,5,0.5516951564130299,0.06239395379336805,0.47602848876933546,0.6407476693363942,5,40.0,5.291502622129181,35.0,46.0,5,0.3729852882870855,0.011351796771357092,0.3573853529194352,0.38943506414780016,5,0.24825591249711715,0.008527303404648773,0.23917854529059956,0.2596692630585574,5,0.8069236077931731,0.05130927675677899,0.7435897435897436,0.8571428571428571,5,0.5444229659176452,0.0775638859729259,0.457293952362878,0.6455923855304718,5,0.07676535812021004,0.00780644751805728,0.06811343518294288,0.08879140449565015,5,0.17287512487265694,0.02105958146258733,0.14146045739097254,0.19920551093029124,5,0.2587152943674683,0.05637749097056128,0.1956521739130435,0.34285714285714286,5
bar,MLP (64--32),ordinary_actionable_recourse,2.1738203767787714,0.37918028095996315,1.5829125321399213,2.5050169021313633,5,96.6,3.4351128074635335,92.0,100.0,5,0.7687220758484938,0.004965873470155834,0.76231882922549,0.7736052318668252,5,0.9027012570205937,0.0016091584869207347,0.901577962021931,0.9053222786841402,5,0.12971116476058958,0.013837645747360107,0.11674879360198974,0.1506953912973404,5,0.21293839213848115,0.016781351490845496,0.191619837641716,0.2319178466796875,5,0.2768240320205688,0.008707132556298076,0.26258028531074523,0.2845284935235977,5,0.7684756206489385,0.04091886843709054,0.7297571385260224,0.8150953312535397,5,0.6119897095502043,0.07870408990685548,0.5119911176680398,0.7254352035412146,5,43.4,1.816590212458495,41.0,45.0,5,0.3878365953792276,0.029660832166185706,0.33745614784519845,0.41001193589634366,5,0.08152001944223368,0.04405045427079045,0.0181471161563318,0.12812835295024205,5,0.4905068102629079,0.061618436403211574,0.4222222222222222,0.5609756097560976,5,0.17231566373803076,0.0974659880289966,0.034231439687129925,0.28007302292519143,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
bar,MLP (64--32),transport_anchor_only,2.1738203767787714,0.37918028095996315,1.5829125321399213,2.5050169021313633,5,96.6,3.4351128074635335,92.0,100.0,5,0.7687220758484938,0.004965873470155834,0.76231882922549,0.7736052318668252,5,0.9027012570205937,0.0016091584869207347,0.901577962021931,0.9053222786841402,5,0.12971116476058958,0.013837645747360107,0.11674879360198974,0.1506953912973404,5,0.21293839213848115,0.016781351490845496,0.191619837641716,0.2319178466796875,5,0.2768240320205688,0.008707132556298076,0.26258028531074523,0.2845284935235977,5,0.7684756206489385,0.04091886843709054,0.7297571385260224,0.8150953312535397,5,0.6119897095502043,0.07870408990685548,0.5119911176680398,0.7254352035412146,5,43.4,1.816590212458495,41.0,45.0,5,0.35366878681741004,0.020660439712235138,0.3183938511988012,0.3687777274184757,5,0.16050040987247538,0.06219249559060482,0.07361023648903475,0.22744825100880917,5,0.6740484989265477,0.06548901628455812,0.6190476190476191,0.7804878048780488,5,0.41154541853447546,0.12059718472164445,0.23064055402831332,0.5404900623692407,5,0.0789803904302417,0.01853308974361609,0.05546312033270295,0.09931989805856711,5,0.23922975479644473,0.02661063994126905,0.1964091143411834,0.26226933080364356,5,0.1835416886636399,0.06716910544038492,0.07142857142857142,0.24444444444444444,5
bar,MLP (64--32),mediation_aware_recourse,2.1738203767787714,0.37918028095996315,1.5829125321399213,2.5050169021313633,5,96.6,3.4351128074635335,92.0,100.0,5,0.7687220758484938,0.004965873470155834,0.76231882922549,0.7736052318668252,5,0.9027012570205937,0.0016091584869207347,0.901577962021931,0.9053222786841402,5,0.12971116476058958,0.013837645747360107,0.11674879360198974,0.1506953912973404,5,0.21293839213848115,0.016781351490845496,0.191619837641716,0.2319178466796875,5,0.2768240320205688,0.008707132556298076,0.26258028531074523,0.2845284935235977,5,0.7684756206489385,0.04091886843709054,0.7297571385260224,0.8150953312535397,5,0.6119897095502043,0.07870408990685548,0.5119911176680398,0.7254352035412146,5,43.4,1.816590212458495,41.0,45.0,5,0.3534834820309133,0.0203629849408311,0.31864999852529385,0.368175956275728,5,0.16088325501590184,0.06260044744506572,0.07286495745704324,0.22736449505743184,5,0.6784929433709921,0.06561673816622372,0.6190476190476191,0.7804878048780488,5,0.41135974342432924,0.12100748969418412,0.22812105042905342,0.5358790179093679,5,0.07936323557366816,0.018886703205820015,0.054717841300711445,0.09923614210718978,5,0.23904407968629848,0.027086098405489097,0.19388961074192348,0.2626039729538289,5,0.18798613310808435,0.0727128011027886,0.07142857142857142,0.26666666666666666,5
bar,Random Forest,ordinary_actionable_recourse,2.1738203767787714,0.37918028095996315,1.5829125321399213,2.5050169021313633,5,96.6,3.4351128074635335,92.0,100.0,5,0.754783636363713,0.0107491766076516,0.7419791291267765,0.7682067009148509,5,0.9030756886868145,0.001622439249863945,0.9013105108317732,0.9050548274939824,5,0.13843371567726134,0.008973401486471997,0.13126606798171997,0.15379824268817902,5,0.1925616609096527,0.008942682473054258,0.18563971936702728,0.2078756992816925,5,0.27993737037181854,0.0049352753803772985,0.2742065615653992,0.2865036725997925,5,0.6877520570264926,0.025216351640268243,0.6552195409749592,0.7255603301534889,5,0.7210859867442905,0.07082259878269015,0.631464228071417,0.8284770264283009,5,38.2,4.147288270665544,33.0,43.0,5,0.3788287036790509,0.01319777574489288,0.3569413463966864,0.38907188075000665,5,0.10982155327016367,0.024769467227203086,0.08749868191244481,0.15028475798351404,5,0.6629960094736045,0.0820318233142346,0.5348837209302325,0.7428571428571429,5,0.1250028852652052,0.04494820754372374,0.09160133678375221,0.20078126138123947,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
bar,Random Forest,transport_anchor_only,2.1738203767787714,0.37918028095996315,1.5829125321399213,2.5050169021313633,5,96.6,3.4351128074635335,92.0,100.0,5,0.754783636363713,0.0107491766076516,0.7419791291267765,0.7682067009148509,5,0.9030756886868145,0.001622439249863945,0.9013105108317732,0.9050548274939824,5,0.13843371567726134,0.008973401486471997,0.13126606798171997,0.15379824268817902,5,0.1925616609096527,0.008942682473054258,0.18563971936702728,0.2078756992816925,5,0.27993737037181854,0.0049352753803772985,0.2742065615653992,0.2865036725997925,5,0.6877520570264926,0.025216351640268243,0.6552195409749592,0.7255603301534889,5,0.7210859867442905,0.07082259878269015,0.631464228071417,0.8284770264283009,5,38.2,4.147288270665544,33.0,43.0,5,0.33101142239198633,0.017099684146424137,0.3083163456155476,0.354457757880128,5,0.22254144181269564,0.025320454735972317,0.19265153551611436,0.2536004778866341,5,0.8194532183641655,0.0722288935029603,0.7209302325581395,0.9142857142857143,5,0.3400197305529328,0.029329196584076463,0.31227102785399463,0.3891785248767498,5,0.11271988854253197,0.04187150717133947,0.07140902552805417,0.16610179597418928,5,0.21501684528772755,0.04585288855742387,0.1382480071953092,0.2579098537910816,5,0.1564572088905611,0.03252814427027826,0.10256410256410256,0.18604651162790697,5
bar,Random Forest,mediation_aware_recourse,2.1738203767787714,0.37918028095996315,1.5829125321399213,2.5050169021313633,5,96.6,3.4351128074635335,92.0,100.0,5,0.754783636363713,0.0107491766076516,0.7419791291267765,0.7682067009148509,5,0.9030756886868145,0.001622439249863945,0.9013105108317732,0.9050548274939824,5,0.13843371567726134,0.008973401486471997,0.13126606798171997,0.15379824268817902,5,0.1925616609096527,0.008942682473054258,0.18563971936702728,0.2078756992816925,5,0.27993737037181854,0.0049352753803772985,0.2742065615653992,0.2865036725997925,5,0.6877520570264926,0.025216351640268243,0.6552195409749592,0.7255603301534889,5,0.7210859867442905,0.07082259878269015,0.631464228071417,0.8284770264283009,5,38.2,4.147288270665544,33.0,43.0,5,0.32330766975954356,0.019292885536963844,0.30074025136102345,0.3519343647288002,5,0.24079358352406857,0.028493513940791172,0.1983990683059106,0.2719413579972003,5,0.8351737579871443,0.08491604466712832,0.7209302325581395,0.9428571428571428,5,0.3445955627240296,0.025901015134479115,0.3088762100898858,0.3801941247873528,5,0.13097203025390486,0.039151994918136666,0.08340192785281986,0.1844426760847555,5,0.21959267745882438,0.04033103009987876,0.1534541835053227,0.24892545370168465,5,0.17217774851353979,0.031037843664696477,0.1282051282051282,0.2,5
acs,Logistic Reg.,ordinary_actionable_recourse,4.031858036030497,0.5855669988301149,3.002297377207029,4.40150696867021,5,80.0,24.63736998950984,45.0,100.0,5,0.8619534323194484,0.0011010124016672387,0.8604318301374552,0.8630144511461468,5,0.7829044540413461,0.0018708163177430506,0.7806710448981677,0.7849640967980988,5,0.07383959943838418,0.0016947511654956929,0.07149462536163628,0.0755812794752419,5,0.0377973328590393,0.006791609031088817,0.03010566389001906,0.045757510051131246,5,0.1095819412022829,0.005965528309045477,0.10352215811051428,0.11782821221090853,5,0.34309654186296806,0.04356179989307947,0.29081371987898463,0.3883408666952092,5,2.010071177431811,0.3981689185448221,1.6159624673418407,2.5105335577834373,5,250.0,0.0,250.0,250.0,5,-0.23555303163032287,0.024849008582247357,-0.2627140952969826,-0.20374717677617493,5,-0.2793604448185797,0.24358272626883992,-0.5539494795024664,-0.03261500411813523,5,0.6895999999999999,0.020899760764180975,0.668,0.72,5,0.5724183601384982,0.01979452297021109,0.5445016481732018,0.5947328939773142,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
