method,is_ordinary_actionable_baseline,eta,lambda_invariance,rho_anchor,n,cost,cost_lo,cost_hi,shortfall,shortfall_lo,shortfall_hi,direct_effect,direct_effect_lo,direct_effect_hi,transport,transport_lo,transport_hi,pre_recourse_mediated_prediction_disparity,pre_recourse_mediated_prediction_disparity_lo,pre_recourse_mediated_prediction_disparity_hi,pre_recourse_factual_mediated_prediction_disparity,pre_recourse_factual_mediated_prediction_disparity_lo,pre_recourse_factual_mediated_prediction_disparity_hi,post_recourse_mediated_prediction_disparity,post_recourse_mediated_prediction_disparity_lo,post_recourse_mediated_prediction_disparity_hi,feasible_rate,feasible_rate_lo,feasible_rate_hi,factual_mediated_prediction_disparity_closure,factual_mediated_prediction_disparity_closure_lo,factual_mediated_prediction_disparity_closure_hi,factual_closure_gain_vs_actionable_baseline,factual_closure_gain_vs_actionable_baseline_lo,factual_closure_gain_vs_actionable_baseline_hi,cost_difference_vs_actionable_baseline,cost_difference_vs_actionable_baseline_lo,cost_difference_vs_actionable_baseline_hi,feasibility_difference_vs_actionable_baseline,feasibility_difference_vs_actionable_baseline_lo,feasibility_difference_vs_actionable_baseline_hi,is_effect_ratio_heuristic
ordinary_actionable_recourse,True,0.0,0.0,0.0,250,0.0,0.0,0.0,0.5903105240509305,0.5553828259720055,0.6260823815771271,0.0677462751673739,0.06027234379531775,0.07576523136614695,0.5950017077827454,0.5847643276958864,0.6043412503771286,0.004660799076780677,0.0014158227316569535,0.00807146411910653,0.1847458653909323,0.16359308179058893,0.20769895419676893,0.1847458653909323,0.1630182627898886,0.20747210815487477,0.056,0.028,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,0.0,0.5,0.0,250,8.274971880018711e-05,4.137485940009356e-05,0.00013102038810029626,0.5898258778655042,0.5544652084336877,0.625391228791307,0.06749436749923612,0.060097686281624964,0.07541367155540406,0.5950010499660174,0.584753879546543,0.6043649714969695,0.004660799076780677,0.0014158227316569535,0.00807146411910653,0.1847458653909323,0.16359308179058893,0.20769895419676893,0.18398572400227128,0.1621956756445562,0.20683632934663507,0.06,0.032,0.088,0.004114524495866356,0.001840792624269616,0.006891228131583688,0.004114524495866356,0.0017046643208139978,0.007354565052311137,8.274971880018711e-05,4.137485940009356e-05,0.00013102038810029626,0.004,0.0,0.012,False
direct_invariance_only,False,0.0,1.0,0.0,250,0.00024135334324091673,0.00011033295840024948,0.00039995696450350807,0.5891219988707981,0.5535568649130875,0.6250486336201498,0.06727643831064274,0.05986129946843704,0.07508064857191757,0.5950232054396469,0.5847900220159887,0.6044030154964825,0.004660799076780677,0.0014158227316569535,0.00807146411910653,0.1847458653909323,0.16359308179058893,0.20769895419676893,0.18320508139579425,0.1615634667614945,0.20600617244067337,0.06,0.032,0.088,0.008340018824657625,0.004604286920153272,0.012926391653414518,0.008340018824657625,0.004681175427668516,0.012853285671546002,0.00024135334324091673,0.00011033295840024948,0.00039995696450350807,0.004,0.0,0.012,False
direct_invariance_only,False,0.0,2.0,0.0,250,0.0010550589049234985,0.000558560598641634,0.0016275835217908023,0.5883031147216948,0.5527841056251775,0.623999039215095,0.06667847246207512,0.059325026884449635,0.07439617038273151,0.5950234313412508,0.5848325147228143,0.6043552516979972,0.004660799076780677,0.0014158227316569535,0.00807146411910653,0.1847458653909323,0.16359308179058893,0.20769895419676893,0.18101433806069187,0.15836041873136258,0.20391267675016883,0.072,0.04,0.108,0.020198164231412297,0.010978357782814354,0.03224704087211612,0.020198164231412297,0.011332329060367793,0.03267288953872198,0.0010550589049234985,0.000558560598641634,0.0016275835217908023,0.016,0.004,0.032,False
direct_invariance_only,False,0.0,5.0,0.0,250,0.08005732747027651,0.05744592190815601,0.10332420882399893,0.5759295622910001,0.5362362844661115,0.6147836337834208,0.04332560370155832,0.03861349644880694,0.048187765099445105,0.6010389334813755,0.5910877408850789,0.60987961730057,0.004660799076780677,0.0014158227316569535,0.00807146411910653,0.1847458653909323,0.16359308179058893,0.20769895419676893,0.13072623022972815,0.09975986249375786,0.16128430470822389,0.12,0.08,0.16,0.2923996975352907,0.184154711909095,0.4141491537355407,0.2923996975352907,0.18654368811151598,0.41381536069997255,0.08005732747027651,0.05744592190815601,0.10332420882399893,0.064,0.032,0.1,False
direct_invariance_only,False,0.0,8.34825211619237,0.0,250,0.19668944493215532,0.1648898310449091,0.2309252088896581,0.5230297174999201,0.47879278458615115,0.5666153381161622,0.02493526733517224,0.02211974277614725,0.027777993660980126,0.6079150282998881,0.5990896819984118,0.6160606246440907,0.004660799076780677,0.0014158227316569535,0.00807146411910653,0.1847458653909323,0.16359308179058893,0.20769895419676893,0.05307551982589913,0.0178587764636386,0.0907243118215289,0.212,0.168,0.264,0.7127106486871116,0.5418415522075698,0.9054284273433195,0.7127106486871116,0.5455176379196722,0.8956441471573644,0.19668944493215532,0.1648898310449091,0.2309252088896581,0.156,0.108,0.204,True
ordinary_actionable_recourse,True,1.0,0.0,0.0,250,0.2816997316358611,0.24823879212675384,0.31226001620214666,0.20528121163822893,0.1671844412978472,0.24484720605422142,0.1038444703603775,0.09491040456889362,0.11348561332568807,0.602215021526416,0.5953535739885271,0.6084709155932467,0.004660799076780677,0.0014158227316569535,0.00807146411910653,0.1847458653909323,0.16359308179058893,0.20769895419676893,-0.06864138364133905,-0.09333919013553707,-0.04487873771454559,0.192,0.144,0.2400999999999999,0.6284551023857008,0.4749209688024661,0.7696759596754235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,1.0,0.5,0.0,250,0.2827357215792872,0.24870151980055963,0.3148750803427305,0.20888276968152217,0.1688182335208046,0.24791686926595521,0.07986899737424377,0.07229320438636955,0.08763545241735883,0.6035546183915933,0.5966711375590364,0.6102026226745348,0.004660799076780677,0.0014158227316569535,0.00807146411910653,0.1847458653909323,0.16359308179058893,0.20769895419676893,-0.10064554980450237,-0.12859459653296823,-0.07304510307743808,0.208,0.16,0.264,0.45522163870065013,0.2850908034054801,0.6062150401057872,-0.17323346368505066,-0.2543843643066285,-0.08764057079125197,0.0010359899434261024,-0.013380896827310789,0.013227242490148635,0.016,-0.02,0.048,False
direct_invariance_only,False,1.0,1.0,0.0,250,0.29129403801355513,0.2569312195039936,0.3234274877666147,0.20783209528549243,0.16748308589030386,0.24910098102300293,0.06982432242049649,0.06239819653472649,0.07764217606778614,0.6064020279312133,0.5990365284350315,0.6125390448822179,0.004660799076780677,0.0014158227316569535,0.00807146411910653,0.1847458653909323,0.16359308179058893,0.20769895419676893,-0.11670387994521926,-0.1425078923964582,-0.0901762179022105,0.236,0.184,0.292,0.3683004504687155,0.19299215392755623,0.5206914969028756,-0.2601546519169853,-0.3636664732694993,-0.16110834969370033,0.00959430637769401,-0.007304761340201367,0.027723106038826512,0.044,0.0,0.08409999999999991,False
direct_invariance_only,False,1.0,2.0,0.0,250,0.3154322693622671,0.28164054314468523,0.34950622570468115,0.20780374530272933,0.166218421539809,0.24929602905771917,0.05373833998117547,0.04732037854699246,0.06040005396520709,0.6083547074802717,0.6012157960915964,0.6151540574901799,0.004660799076780677,0.0014158227316569535,0.00807146411910653,0.1847458653909323,0.16359308179058893,0.20769895419676893,-0.16436956754193396,-0.1918775197748002,-0.13393052801296848,0.28,0.224,0.34009999999999996,0.11029366100226912,-0.07510118149007615,0.2688862229222447,-0.5181614413834317,-0.657554632525,-0.38190815974485687,0.033732537726406005,0.009020621957152617,0.060175901585561214,0.088,0.04,0.14,False
