method,is_ordinary_actionable_baseline,eta,lambda_invariance,rho_anchor,n,cost,cost_lo,cost_hi,shortfall,shortfall_lo,shortfall_hi,direct_effect,direct_effect_lo,direct_effect_hi,transport,transport_lo,transport_hi,pre_recourse_mediated_prediction_disparity,pre_recourse_mediated_prediction_disparity_lo,pre_recourse_mediated_prediction_disparity_hi,pre_recourse_factual_mediated_prediction_disparity,pre_recourse_factual_mediated_prediction_disparity_lo,pre_recourse_factual_mediated_prediction_disparity_hi,post_recourse_mediated_prediction_disparity,post_recourse_mediated_prediction_disparity_lo,post_recourse_mediated_prediction_disparity_hi,feasible_rate,feasible_rate_lo,feasible_rate_hi,factual_mediated_prediction_disparity_closure,factual_mediated_prediction_disparity_closure_lo,factual_mediated_prediction_disparity_closure_hi,factual_closure_gain_vs_actionable_baseline,factual_closure_gain_vs_actionable_baseline_lo,factual_closure_gain_vs_actionable_baseline_hi,cost_difference_vs_actionable_baseline,cost_difference_vs_actionable_baseline_lo,cost_difference_vs_actionable_baseline_hi,feasibility_difference_vs_actionable_baseline,feasibility_difference_vs_actionable_baseline_lo,feasibility_difference_vs_actionable_baseline_hi,is_effect_ratio_heuristic
ordinary_actionable_recourse,True,0.0,0.0,0.0,43,0.0,0.0,0.0,0.05247723509361281,0.03648719658389293,0.06903346808207193,0.18552713300114423,0.17622294102981995,0.1947720664874107,0.28125174967355504,0.2654785971720378,0.2966594375973178,0.2045658313950827,0.20001374531623928,0.2094340774902078,0.4299172476951417,0.4100708216353019,0.4496643745077569,0.4299172476951417,0.4081416193262875,0.4496622523302456,0.37209302325581395,0.23255813953488372,0.5116279069767442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,0.0,0.5,0.0,43,0.002012182373640149,0.0,0.004515673618677051,0.051565671580041925,0.03588329328214313,0.06730958142010551,0.17919075721513147,0.16765498181481606,0.18979042979272545,0.28062997056647787,0.2645897494650684,0.2963385498281135,0.2045658313950827,0.20001374531623928,0.2094340774902078,0.4299172476951417,0.4100708216353019,0.4496643745077569,0.4209923262241837,0.3958843085212493,0.44415547956004686,0.37209302325581395,0.23255813953488372,0.5116279069767442,0.020759626460222336,0.0,0.051276443210261376,0.020759626460222336,0.0,0.048539826356905916,0.002012182373640149,0.0,0.004515673618677051,0.0,0.0,0.0,False
direct_invariance_only,False,0.0,0.7133235961881897,0.0,43,0.0031898676656013313,0.0008307940651511038,0.006185841454236313,0.051565671580041925,0.03588329328214313,0.06730958142010551,0.1771054346122243,0.1657680852418471,0.1875445895839678,0.28032100573182106,0.2639321896854009,0.2960872409995212,0.2045658313950827,0.20001374531623928,0.2094340774902078,0.4299172476951417,0.4100708216353019,0.4496643745077569,0.41739281302215353,0.3893498868009358,0.44226412306070517,0.37209302325581395,0.23255813953488372,0.5116279069767442,0.029132198673427978,0.003145961596989122,0.06353779882928055,0.029132198673427978,0.003347144420077519,0.05998318218157173,0.0031898676656013313,0.0008307940651511038,0.006185841454236313,0.0,0.0,0.0,True
direct_invariance_only,False,0.0,1.0,0.0,43,0.0038762440861657608,0.0015171704857155337,0.007069814768294952,0.051565671580041925,0.03588329328214313,0.06730958142010551,0.17627401309293012,0.1649957277679125,0.18674471218528657,0.28007826919472495,0.2635588917751298,0.2958999593590581,0.2045658313950827,0.20001374531623928,0.2094340774902078,0.4299172476951417,0.4100708216353019,0.4496643745077569,0.41546529157043716,0.3862474859712948,0.44107380241184324,0.37209302325581395,0.23255813953488372,0.5116279069767442,0.03361566953218076,0.007066781963784844,0.0657148872405113,0.03361566953218076,0.008994500094416888,0.06516689606171693,0.0038762440861657608,0.0015171704857155337,0.007069814768294952,0.0,0.0,0.0,False
direct_invariance_only,False,0.0,2.0,0.0,43,0.017228197393029235,0.008883226576239564,0.02807665945485581,0.04790875023235567,0.03273462571139526,0.06389775310979132,0.16708729271482248,0.1541910079688562,0.17908772672488582,0.2762683139637459,0.25801273751787324,0.29295649374726895,0.2045658313950827,0.20001374531623928,0.2094340774902078,0.4299172476951417,0.4100708216353019,0.4496643745077569,0.3955385741236441,0.3598718315470931,0.4263401724690894,0.3953488372093023,0.2558139534883721,0.5581395348837209,0.07996579284922256,0.04190907521759044,0.12806736827959858,0.07996579284922256,0.039230510016003875,0.12544057295043382,0.017228197393029235,0.008883226576239564,0.02807665945485581,0.023255813953488372,0.0,0.06976744186046512,False
direct_invariance_only,False,0.0,5.0,0.0,43,0.07616669918562091,0.05035860464410034,0.10488396159828056,0.037750251866850874,0.024327343880558246,0.05198426920777505,0.147703612852523,0.1330881055874632,0.16251238345313437,0.2672125150471233,0.24819898239965008,0.2849881735716968,0.2045658313950827,0.20001374531623928,0.2094340774902078,0.4299172476951417,0.4100708216353019,0.4496643745077569,0.3706203775679822,0.33140326919884466,0.4041396423704102,0.4186046511627907,0.27906976744186046,0.5813953488372093,0.13792624149196142,0.08974807749279629,0.19571584809291867,0.13792624149196142,0.08978137898805864,0.18957301042532024,0.07616669918562091,0.05035860464410034,0.10488396159828056,0.046511627906976744,0.0,0.11627906976744186,False
ordinary_actionable_recourse,True,1.0,0.0,0.0,43,0.003533055875883546,0.0008344970816789671,0.006722923541484877,0.04668437603849476,0.031192342715057685,0.06189833809720241,0.18463121715212408,0.1754406532942157,0.19419034665438747,0.2800658952531426,0.2651038840196507,0.29525661148174215,0.2045658313950827,0.20001374531623928,0.2094340774902078,0.4299172476951417,0.4100708216353019,0.4496643745077569,0.424007713870207,0.40331959098750714,0.44350890678217597,0.3953488372093023,0.2558139534883721,0.5348837209302325,0.013745747249305995,0.004386803922207139,0.025601689877342883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,1.0,0.5,0.0,43,0.00854003836595735,0.00436384994103465,0.01286181810766805,0.04374402688908059,0.029493313482411684,0.058429081350534734,0.1776411456507283,0.16562064682089517,0.18871884984351722,0.2782039717706137,0.2631839882062618,0.2936725376672003,0.2045658313950827,0.20001374531623928,0.2094340774902078,0.4299172476951417,0.4100708216353019,0.4496643745077569,0.41305400676340565,0.3887568995091844,0.43658661836447293,0.3953488372093023,0.2558139534883721,0.5348837209302325,0.03922438800058092,0.016853037519637303,0.07077939707986552,0.025478640751274928,0.005009458143114026,0.053460580958478374,0.005006982490073803,0.0016689941633579342,0.008365833243831626,0.0,0.0,0.0,False
direct_invariance_only,False,1.0,0.7133235961881897,0.0,43,0.010552220739597497,0.006184667782034985,0.015216015019389085,0.04322635940095278,0.028826961963545974,0.058416058542160774,0.1750778262009998,0.16314337901768203,0.18579832186106374,0.2775838817794656,0.26212736633497963,0.29313655058571764,0.2045658313950827,0.20001374531623928,0.2094340774902078,0.4299172476951417,0.4100708216353019,0.4496643745077569,0.407280986730121,0.3812041538968454,0.43224413119964494,0.4186046511627907,0.27906976744186046,0.5813953488372093,0.052652600207080624,0.025691909867132465,0.08625760177125086,0.03890685295777463,0.01353243703363694,0.07232761332888749,0.007019164863713952,0.0033379883267158684,0.011534838482391003,0.023255813953488372,0.0,0.06976744186046512,True
direct_invariance_only,False,1.0,1.0,0.0,43,0.01172990603155868,0.007214232412881629,0.016592470877045806,0.043341902195219224,0.02914943666569828,0.058727273825500255,0.17346682545450873,0.1615890103126222,0.18404084922767983,0.2771562398519627,0.26154296676693267,0.29285755710416406,0.2045658313950827,0.20001374531623928,0.2094340774902078,0.4299172476951417,0.4100708216353019,0.4496643745077569,0.405469008072671,0.37846992439856736,0.4307178258341245,0.4186046511627907,0.27906976744186046,0.5813953488372093,0.056867315171795996,0.029210651849492526,0.0909469526005724,0.04312156792249,0.015776848668089236,0.07586516203035627,0.008196850155675135,0.003977417859227159,0.013203832645748937,0.023255813953488372,0.0,0.06976744186046512,False
direct_invariance_only,False,1.0,2.0,0.0,43,0.024489386830219003,0.014528283180105824,0.03665991639068653,0.04334757135759743,0.029296633012466246,0.05841372748926136,0.1641907301260159,0.15251200191345007,0.17610080729933816,0.2746451042245987,0.2567829997646947,0.2911602114110665,0.2045658313950827,0.20001374531623928,0.2094340774902078,0.4299172476951417,0.4100708216353019,0.4496643745077569,0.39097739524888586,0.35718149421286355,0.420328921444139,0.3953488372093023,0.2558139534883721,0.5581395348837209,0.09057522733739787,0.05315289561388172,0.13782233378341802,0.07682948008809187,0.03508226086775602,0.12292744301880941,0.020956330954335457,0.010308850883657848,0.033224684374710156,0.0,-0.06976744186046512,0.06976744186046512,False
direct_invariance_only,False,1.0,5.0,0.0,43,0.07753945202674976,0.05172155769758446,0.10591804958056918,0.03747966206446221,0.02402392576419404,0.05197750446271534,0.1474456602940544,0.13283017054783613,0.162258444121419,0.2669712356183418,0.24796199268163288,0.2846987005648051,0.2045658313950827,0.20001374531623928,0.2094340774902078,0.4299172476951417,0.4100708216353019,0.4496643745077569,0.3703497877655936,0.3309706124454157,0.4037627504082064,0.4186046511627907,0.27906976744186046,0.5813953488372093,0.13855564122839747,0.09020524824351295,0.19699022645933711,0.12480989397909148,0.07311716984744153,0.17983922004499417,0.07400639615086622,0.047501124006284534,0.10277935742552197,0.023255813953488372,-0.046511627906976744,0.09302325581395349,False
ordinary_actionable_recourse,True,3.0,0.0,0.0,43,0.025518951461065646,0.01354078874858313,0.039114103013606266,0.03434265081803281,0.022004763898732297,0.04811915859313901,0.17895039651764985,0.17012640788862174,0.1888450235657065,0.275007986745169,0.2602045793216242,0.29010785447736814,0.2045658313950827,0.20001374531623928,0.2094340774902078,0.4299172476951417,0.4100708216353019,0.4496643745077569,0.40977266423476133,0.39231370151468276,0.4269918340801384,0.46511627906976744,0.32558139534883723,0.627906976744186,0.046856885989987274,0.02856909055547306,0.06553727682746084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,3.0,0.5,0.0,43,0.02718794562442358,0.015555500213143439,0.04078191336850787,0.03439317706390686,0.021586184114577717,0.04825540479958969,0.17285243058011088,0.16130564539026407,0.18405806493687968,0.2743920217766318,0.2593810986770793,0.28953299482114786,0.2045658313950827,0.20001374531623928,0.2094340774902078,0.4299172476951417,0.4100708216353019,0.4496643745077569,0.40180983252324826,0.3789884015494563,0.42292463171294875,0.46511627906976744,0.32558139534883723,0.627906976744186,0.0653786637372239,0.03813388863021061,0.10002146057375809,0.018521777747236623,-0.0011573411674599243,0.04694386371636565,0.0016689941633579342,-0.0027455056822577187,0.0060834940089735876,0.0,0.0,0.0,False
direct_invariance_only,False,3.0,0.7133235961881897,0.0,43,0.028365630916384763,0.016929426979879997,0.04162382636609119,0.03439317706390686,0.021586184114577717,0.04825540479958969,0.17076710797720368,0.15941540746031702,0.1816913691657138,0.274083056941975,0.25900223047450877,0.2895184596047498,0.2045658313950827,0.20001374531623928,0.2094340774902078,0.4299172476951417,0.4100708216353019,0.4496643745077569,0.3982103193212181,0.3736481390542978,0.42072098518448137,0.46511627906976744,0.32558139534883723,0.627906976744186,0.07375123595042954,0.04470997925856279,0.11048567005399682,0.026894349960442265,0.0010554043239802886,0.058565482366816995,0.002846679455319116,-0.0016147672783496769,0.0076043675112169844,0.0,0.0,0.0,True
direct_invariance_only,False,3.0,1.0,0.0,43,0.030767948388360267,0.019137850574889155,0.04474516488221842,0.033955318694284885,0.021069594937270012,0.047604119325334426,0.16942544091843728,0.15839198569961013,0.1800778125785792,0.2735828041683796,0.2586521770870096,0.28916988846044556,0.2045658313950827,0.20001374531623928,0.2094340774902078,0.4299172476951417,0.4100708216353019,0.4496643745077569,0.39584493949987964,0.37041913452391945,0.41927818589231863,0.46511627906976744,0.32558139534883723,0.627906976744186,0.07925317808934029,0.05126984373473894,0.1152821000645252,0.03239629209935302,0.007417345101959286,0.06428435714649032,0.00524899692729462,-0.00019506754916767742,0.010888128952924596,0.0,0.0,0.0,False
direct_invariance_only,False,3.0,2.0,0.0,43,0.04411990169522374,0.03008039829559451,0.05913394279778004,0.033063656376737895,0.02055364371663823,0.04657964966529253,0.1617344505111101,0.15015097792004456,0.17365897320844004,0.2703814570640409,0.25414680721628113,0.28567263340404214,0.2045658313950827,0.20001374531623928,0.2094340774902078,0.4299172476951417,0.4100708216353019,0.4496643745077569,0.3803393204263526,0.3493774965019112,0.4073462657034247,0.46511627906976744,0.32558139534883723,0.627906976744186,0.115319698231659,0.07807343761238741,0.16181380369999482,0.06846281224167172,0.028454419460402777,0.11475453286014982,0.018600950234158094,0.00770066459554919,0.03150854155767795,0.0,0.0,0.0,False
direct_invariance_only,False,3.0,5.0,0.0,43,0.11327470587783081,0.08327826648127547,0.14881587389986528,0.026708641964080407,0.014728073642608466,0.041468660263648996,0.14460442520627312,0.13057688220844837,0.15938831417702584,0.26173830734089365,0.24373324311360023,0.27816479490896645,0.2045658313950827,0.20001374531623928,0.2094340774902078,0.4299172476951417,0.4100708216353019,0.4496643745077569,0.358230009684587,0.32049998497228394,0.38991301078890545,0.4883720930232558,0.3488372093023256,0.627906976744186,0.16674659692041194,0.11765327746318595,0.2236200373425899,0.11988971093042466,0.06802931275918925,0.18114695480704457,0.08775575441676517,0.0565264209736745,0.12443032644385861,0.023255813953488372,0.0,0.06976744186046512,False
ordinary_actionable_recourse,True,10.0,0.0,0.0,43,0.13126867108566817,0.08046744497449591,0.19119805888770972,0.01488765430797893,0.0079639090941744,0.02366026244622187,0.1738870899241022,0.16481226841223767,0.18360633788721195,0.2636587555671847,0.2505898016504944,0.27654323953875276,0.2045658313950827,0.20001374531623928,0.2094340774902078,0.4299172476951417,0.4100708216353019,0.4496643745077569,0.38907188075000665,0.3768738815508322,0.4017832902314858,0.5348837209302325,0.3953488372093023,0.6744186046511628,0.09500750938491986,0.06905936527841573,0.11875493243403441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,10.0,0.5,0.0,43,0.13824088888805966,0.08589115785651429,0.20110569180877402,0.01436113862641543,0.007431044940298404,0.02332728582535813,0.16811600850677003,0.15710915206461448,0.17963266257263621,0.2626618197144464,0.24955643633986974,0.27599245652253196,0.2045658313950827,0.20001374531623928,0.2094340774902078,0.4299172476951417,0.4100708216353019,0.4496643745077569,0.3801946717890865,0.363553741746696,0.3959277720970585,0.5581395348837209,0.4186046511627907,0.6976744186046512,0.11565615516154859,0.08516637937013373,0.14553289633759214,0.020648645776628727,0.0,0.048248501435156264,0.006972217802391495,0.0,0.01843402458917954,0.023255813953488372,0.0,0.06976744186046512,False
direct_invariance_only,False,10.0,0.7133235961881897,0.0,43,0.13941857418002085,0.08762730613654089,0.20171530497541956,0.01436113862641543,0.007431044940298404,0.02332728582535813,0.16603068590386283,0.1551761896712997,0.17702785353101308,0.2623528548797896,0.249062966457893,0.2759400838682818,0.2045658313950827,0.20001374531623928,0.2094340774902078,0.4299172476951417,0.4100708216353019,0.4496643745077569,0.37659515858705633,0.3572919454225305,0.394765115979503,0.5581395348837209,0.4186046511627907,0.6976744186046512,0.12402872737475412,0.09351952070351432,0.15736460690287202,0.029021217989834258,0.004009610967185099,0.060433959977321046,0.008149903094352678,0.0008344970816789671,0.02008215632549552,0.023255813953488372,0.0,0.06976744186046512,True
