method,is_ordinary_actionable_baseline,eta,lambda_invariance,rho_anchor,n,cost,cost_lo,cost_hi,shortfall,shortfall_lo,shortfall_hi,direct_effect,direct_effect_lo,direct_effect_hi,transport,transport_lo,transport_hi,pre_recourse_mediated_prediction_disparity,pre_recourse_mediated_prediction_disparity_lo,pre_recourse_mediated_prediction_disparity_hi,pre_recourse_factual_mediated_prediction_disparity,pre_recourse_factual_mediated_prediction_disparity_lo,pre_recourse_factual_mediated_prediction_disparity_hi,post_recourse_mediated_prediction_disparity,post_recourse_mediated_prediction_disparity_lo,post_recourse_mediated_prediction_disparity_hi,feasible_rate,feasible_rate_lo,feasible_rate_hi,factual_mediated_prediction_disparity_closure,factual_mediated_prediction_disparity_closure_lo,factual_mediated_prediction_disparity_closure_hi,factual_closure_gain_vs_actionable_baseline,factual_closure_gain_vs_actionable_baseline_lo,factual_closure_gain_vs_actionable_baseline_hi,cost_difference_vs_actionable_baseline,cost_difference_vs_actionable_baseline_lo,cost_difference_vs_actionable_baseline_hi,feasibility_difference_vs_actionable_baseline,feasibility_difference_vs_actionable_baseline_lo,feasibility_difference_vs_actionable_baseline_hi,is_effect_ratio_heuristic
ordinary_actionable_recourse,True,0.0,0.0,0.0,250,0.0,0.0,0.0,0.5394980910729297,0.5052251872252015,0.5733727270186526,0.059546774078277354,0.05495325386902905,0.06418960553005863,0.5836269174941381,0.5754519394271325,0.5925575054603169,0.033176333729177714,0.02910690294811502,0.03735622238582,0.1674424636884778,0.14768923689499214,0.186843738459966,0.1674424636884778,0.14886666727813494,0.18679413818901947,0.024,0.008,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,0.0,0.5,0.0,250,0.0,0.0,0.0,0.5394980910729297,0.5052251872252015,0.5733727270186526,0.059546774078277354,0.05495325386902905,0.06418960553005863,0.5836269174941381,0.5754519394271325,0.5925575054603169,0.033176333729177714,0.02910690294811502,0.03735622238582,0.1674424636884778,0.14768923689499214,0.186843738459966,0.1674424636884778,0.14886666727813494,0.18679413818901947,0.024,0.008,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,0.0,1.0,0.0,250,0.0,0.0,0.0,0.5394980910729297,0.5052251872252015,0.5733727270186526,0.059546774078277354,0.05495325386902905,0.06418960553005863,0.5836269174941381,0.5754519394271325,0.5925575054603169,0.033176333729177714,0.02910690294811502,0.03735622238582,0.1674424636884778,0.14768923689499214,0.186843738459966,0.1674424636884778,0.14886666727813494,0.18679413818901947,0.024,0.008,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,0.0,1.6379888096135586,0.0,250,0.0,0.0,0.0,0.5394980910729297,0.5052251872252015,0.5733727270186526,0.059546774078277354,0.05495325386902905,0.06418960553005863,0.5836269174941381,0.5754519394271325,0.5925575054603169,0.033176333729177714,0.02910690294811502,0.03735622238582,0.1674424636884778,0.14768923689499214,0.186843738459966,0.1674424636884778,0.14886666727813494,0.18679413818901947,0.024,0.008,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
direct_invariance_only,False,0.0,2.0,0.0,250,0.0,0.0,0.0,0.5394980910729297,0.5052251872252015,0.5733727270186526,0.059546774078277354,0.05495325386902905,0.06418960553005863,0.5836269174941381,0.5754519394271325,0.5925575054603169,0.033176333729177714,0.02910690294811502,0.03735622238582,0.1674424636884778,0.14768923689499214,0.186843738459966,0.1674424636884778,0.14886666727813494,0.18679413818901947,0.024,0.008,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,0.0,5.0,0.0,250,3.452178323641419e-05,6.904356647282839e-06,6.904356647282838e-05,0.5394980910729297,0.5052251872252015,0.5733727270186526,0.059537705249035476,0.05494614093893929,0.06417362638962394,0.5836569746611515,0.5754952370368192,0.5925875626370162,0.033176333729177714,0.02910690294811502,0.03735622238582,0.1674424636884778,0.14768923689499214,0.186843738459966,0.16724235406147586,0.14864744031944785,0.18663268299037808,0.024,0.008,0.044,0.001195094855831913,0.0002385341755448467,0.0023734089283339163,0.001195094855831913,0.00023412012037861418,0.0024550047574958818,3.452178323641419e-05,6.904356647282839e-06,6.904356647282838e-05,0.0,0.0,0.0,False
ordinary_actionable_recourse,True,1.0,0.0,0.0,250,0.31809442298254,0.2837112259732327,0.351825643634377,0.13736970074083277,0.11553073074509435,0.15913054310762165,0.09867678768083381,0.09640424727179446,0.10085648422165802,0.6117621914237739,0.6040001284714241,0.6192072729678154,0.033176333729177714,0.02910690294811502,0.03735622238582,0.1674424636884778,0.14768923689499214,0.186843738459966,-0.09791702414267588,-0.12773906090815124,-0.07022697984153019,0.172,0.124,0.22,0.41521987920072734,0.19323898574116136,0.5980233336752093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,1.0,0.5,0.0,250,0.2910110679115169,0.2575054688440054,0.3248991387008457,0.16562902126128734,0.13746197713780756,0.19287865068532148,0.09403223190247033,0.09105888081112068,0.09684140659112195,0.6071441351487239,0.5991583331254176,0.6151932260831495,0.033176333729177714,0.02910690294811502,0.03735622238582,0.1674424636884778,0.14768923689499214,0.186843738459966,-0.09099665798322847,-0.12072962470003225,-0.0641716637301906,0.16,0.116,0.208,0.45654969486996255,0.23748616992998056,0.6453581209297699,0.041329815669235215,-0.03333286826428239,0.11597038648706663,-0.027083355071023107,-0.04244712793201907,-0.01244735649037175,-0.012,-0.036,0.012,False
direct_invariance_only,False,1.0,1.0,0.0,250,0.2556475138375536,0.22173765690937872,0.2875432665386703,0.2048362372411195,0.17476744704926425,0.23757922269367326,0.08897067258204575,0.08554094177647738,0.09219240430609522,0.6020424648195506,0.5940398847554823,0.6107248390488674,0.033176333729177714,0.02910690294811502,0.03735622238582,0.1674424636884778,0.14768923689499214,0.186843738459966,-0.07397372183388407,-0.10353261377015036,-0.04592953312982989,0.152,0.112,0.2,0.5582140861740413,0.34556709856749734,0.7408831561967661,0.142994206973314,0.039439329668558745,0.24917294074723337,-0.06244690914498642,-0.08563260173414601,-0.04148400025027804,-0.02,-0.048,0.012,False
direct_invariance_only,False,1.0,1.6379888096135586,0.0,250,0.20472681326046585,0.17287916310145518,0.2368448988723103,0.26538967478725384,0.2302019565531651,0.3033780342432891,0.08116594703529913,0.07690079167751028,0.0848196220254157,0.5903152637177705,0.5827186045004527,0.5989594960000665,0.033176333729177714,0.02910690294811502,0.03735622238582,0.1674424636884778,0.14768923689499214,0.186843738459966,-0.044591472033786404,-0.07221675554108138,-0.015345387856571725,0.136,0.09590000000000001,0.18,0.7336907791995486,0.5431003023888885,0.9067689416360406,0.3184708999988213,0.16798626210456133,0.48629976508693407,-0.11336760972207412,-0.14350837116793264,-0.08378697817357024,-0.036,-0.068,-0.004,True
