method,is_ordinary_actionable_baseline,eta,lambda_invariance,rho_anchor,n,cost,cost_lo,cost_hi,shortfall,shortfall_lo,shortfall_hi,direct_effect,direct_effect_lo,direct_effect_hi,transport,transport_lo,transport_hi,pre_recourse_mediated_prediction_disparity,pre_recourse_mediated_prediction_disparity_lo,pre_recourse_mediated_prediction_disparity_hi,pre_recourse_factual_mediated_prediction_disparity,pre_recourse_factual_mediated_prediction_disparity_lo,pre_recourse_factual_mediated_prediction_disparity_hi,post_recourse_mediated_prediction_disparity,post_recourse_mediated_prediction_disparity_lo,post_recourse_mediated_prediction_disparity_hi,feasible_rate,feasible_rate_lo,feasible_rate_hi,factual_mediated_prediction_disparity_closure,factual_mediated_prediction_disparity_closure_lo,factual_mediated_prediction_disparity_closure_hi,factual_closure_gain_vs_actionable_baseline,factual_closure_gain_vs_actionable_baseline_lo,factual_closure_gain_vs_actionable_baseline_hi,cost_difference_vs_actionable_baseline,cost_difference_vs_actionable_baseline_lo,cost_difference_vs_actionable_baseline_hi,feasibility_difference_vs_actionable_baseline,feasibility_difference_vs_actionable_baseline_lo,feasibility_difference_vs_actionable_baseline_hi,is_effect_ratio_heuristic
ordinary_actionable_recourse,True,0.0,0.0,0.0,39,0.0,0.0,0.0,0.057092471201432765,0.041208129861980504,0.07465685003789109,0.21965420761828924,0.20822522422725095,0.2318224304963779,0.2763468623161316,0.26219757755931755,0.2898957051671086,0.19782984409576806,0.19423647492359847,0.2013795161476502,0.42007172373372714,0.4000975165158089,0.44023139910245906,0.42007172373372714,0.39972530476445267,0.4406580424601605,0.28205128205128205,0.15384615384615385,0.4108974358974353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,0.0,0.5,0.0,39,0.006299532782764007,0.0022266579982944024,0.010752848755472746,0.05343609313874644,0.03696585257664167,0.07182610464058206,0.20345111277495462,0.1886858508843142,0.2195189918488297,0.2742089105722232,0.25919594391702844,0.28863581550809053,0.19782984409576806,0.19423647492359847,0.2013795161476502,0.42007172373372714,0.4000975165158089,0.44023139910245906,0.3991518445660622,0.3701301713819579,0.42755848575851757,0.38461538461538464,0.2564102564102564,0.5384615384615384,0.04980073160298104,0.017888414761331375,0.0891894020984597,0.04980073160298104,0.016973543398721817,0.08901146975771414,0.006299532782764007,0.0022266579982944024,0.010752848755472746,0.10256410256410256,0.02564102564102564,0.20512820512820512,False
direct_invariance_only,False,0.0,0.8284770264283009,0.0,39,0.010210181562564312,0.005376424401616439,0.015368390781207917,0.04915563658729306,0.032597331896953935,0.0675000103322913,0.1972497278200479,0.18147382982047747,0.21357225418038375,0.27319035889246523,0.2578642119223682,0.2876237279568345,0.19782984409576806,0.19423647492359847,0.2013795161476502,0.42007172373372714,0.4000975165158089,0.44023139910245906,0.38826316375949105,0.3586304658774476,0.4185000832798774,0.41025641025641024,0.28141025641025647,0.5641025641025641,0.07572173554437756,0.03963194129528243,0.11468815996462843,0.07572173554437756,0.03874613960577199,0.1165800941399502,0.010210181562564312,0.005376424401616439,0.015368390781207917,0.1282051282051282,0.02564102564102564,0.23076923076923078,True
direct_invariance_only,False,0.0,1.0,0.0,39,0.010210181562564312,0.005376424401616439,0.015368390781207917,0.04915563658729306,0.032597331896953935,0.0675000103322913,0.1972497278200479,0.18147382982047747,0.21357225418038375,0.27319035889246523,0.2578642119223682,0.2876237279568345,0.19782984409576806,0.19423647492359847,0.2013795161476502,0.42007172373372714,0.4000975165158089,0.44023139910245906,0.38826316375949105,0.3586304658774476,0.4185000832798774,0.41025641025641024,0.28141025641025647,0.5641025641025641,0.07572173554437756,0.03963194129528243,0.11468815996462843,0.07572173554437756,0.03874613960577199,0.1165800941399502,0.010210181562564312,0.005376424401616439,0.015368390781207917,0.1282051282051282,0.02564102564102564,0.23076923076923078,False
direct_invariance_only,False,0.0,2.0,0.0,39,0.02091279303511748,0.013469126770416132,0.02982657705851568,0.042645265888250516,0.02643085100169241,0.060832054281147185,0.1901302748249028,0.17544417575066112,0.20673369706735575,0.2708755257802132,0.2550973524124576,0.28539382911836486,0.19782984409576806,0.19423647492359847,0.2013795161476502,0.42007172373372714,0.4000975165158089,0.44023139910245906,0.3785114787552117,0.34949890862015975,0.4069179201131106,0.48717948717948717,0.3333333333333333,0.6666666666666666,0.09893606884347073,0.06132114708021642,0.13966004269973645,0.09893606884347073,0.05866159234391854,0.14235887554037788,0.02091279303511748,0.013469126770416132,0.02982657705851568,0.20512820512820512,0.07692307692307693,0.3339743589743584,False
direct_invariance_only,False,0.0,5.0,0.0,39,0.12184036105202559,0.0817914012198647,0.1612919313403276,0.02381529946999262,0.01032036912800205,0.039321292882225974,0.16346831604222237,0.14703628669857882,0.18088433630757353,0.2604021090918627,0.24468934732513167,0.27443845986316984,0.19782984409576806,0.19423647492359847,0.2013795161476502,0.42007172373372714,0.4000975165158089,0.44023139910245906,0.3365872879092259,0.3079631653248674,0.36563237229584566,0.6410256410256411,0.48717948717948717,0.7948717948717948,0.19873852751255394,0.15248548054358188,0.2513176702100047,0.19873852751255394,0.14922139482052996,0.24833460989900033,0.12184036105202559,0.0817914012198647,0.1612919313403276,0.358974358974359,0.20512820512820512,0.5128205128205128,False
ordinary_actionable_recourse,True,1.0,0.0,0.0,39,0.0065177479424537756,0.002444873157984171,0.010971063915162515,0.04385700086301922,0.027502637588400467,0.06230663983194761,0.21141037839012972,0.19889512946427987,0.22463751474010918,0.2742919394603142,0.2598251858988825,0.2880701604920129,0.19782984409576806,0.19423647492359847,0.2013795161476502,0.42007172373372714,0.4000975165158089,0.44023139910245906,0.40474751333714604,0.38495339614397595,0.42564095587955925,0.358974358974359,0.23076923076923078,0.5128205128205128,0.03647998551384224,0.015344944465634367,0.05903768993600608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
direct_invariance_only,False,1.0,0.5,0.0,39,0.011894172296310082,0.006295477132647275,0.01749146770960532,0.04322982872997342,0.02706228224686797,0.06182824564235849,0.19780055855503592,0.18275069422636342,0.21336139153672384,0.2725234871300367,0.2572553106344854,0.28673134573902453,0.19782984409576806,0.19423647492359847,0.2013795161476502,0.42007172373372714,0.4000975165158089,0.44023139910245906,0.3875849484263792,0.3593213528299998,0.4154371299073865,0.4358974358974359,0.3070512820512821,0.5903846153846148,0.07733625824322443,0.04237591294114182,0.11712732003596746,0.04085627272938219,0.01261592107890186,0.07440459516932897,0.0053764243538563065,0.0018421611360584698,0.009231084003710211,0.07692307692307693,0.0,0.1794871794871795,False
direct_invariance_only,False,1.0,0.8284770264283009,0.0,39,0.01727059669792652,0.009343062264200013,0.027424789130544434,0.04071848634171483,0.024073648194337684,0.058815835431447576,0.193043337387045,0.17699715543583402,0.20953597552231681,0.2715100031823684,0.25587225527956314,0.28582144918827673,0.19782984409576806,0.19423647492359847,0.2013795161476502,0.42007172373372714,0.4000975165158089,0.44023139910245906,0.379647099962405,0.35053753054581355,0.4086180037439041,0.4358974358974359,0.3070512820512821,0.5903846153846148,0.09623267048782913,0.05842534803672515,0.1387154634705417,0.05975268497398689,0.028995511555124233,0.09414042840625042,0.010752848755472746,0.003910648779800305,0.02036437397130216,0.07692307692307693,0.0,0.1794871794871795,True
direct_invariance_only,False,1.0,1.0,0.0,39,0.01911681350798179,0.011351505150564779,0.029276461364367064,0.04040368311951169,0.023740406788938493,0.05873799912897578,0.19150983610052003,0.1755259062958216,0.20810406856059221,0.2708273603557012,0.2551797721463327,0.28543784867685573,0.19782984409576806,0.19423647492359847,0.2013795161476502,0.42007172373372714,0.4000975165158089,0.44023139910245906,0.37789420556958775,0.34911468637341414,0.4072572472238434,0.48717948717948717,0.3333333333333333,0.6666666666666666,0.10040551596582747,0.0634700767238347,0.14196223539145483,0.06392553045198524,0.03212624041443282,0.10082572033993112,0.012599065565528015,0.005431013757912204,0.022214646453563216,0.1282051282051282,0.02564102564102564,0.23141025641025584,False
